id,title,link,published,published_normalized,summary,summary_cleaned,source_feed_title,source_feed_url
https://www.foxnews.com/politics/why-trumps-constant-attacks-sniping-elon-musk-helps-keeps-media-scrambling,Why Trump’s constant attacks and his sniping with Elon Musk helps him and keeps the media scrambling,https://www.foxnews.com/politics/why-trumps-constant-attacks-sniping-elon-musk-helps-keeps-media-scrambling,"Tue, 10 Jun 2025 03:00:38 -0400",2025-06-10T07:00:38+00:00,"From Elon Musk, to Terry Moran, to the Los Angeles riots, Donald Trump is a president who relishes the news cycle and loves being at war.","From Elon Musk, to Terry Moran, to the Los Angeles riots, Donald Trump is a president who relishes the news cycle and loves being at war.",Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/entertainment/diddys-exs-testimony-could-provide-powerful-corroboration-allegations-sex-crimes-trial-expert,Diddy's ex's testimony could provide powerful corroboration to allegations in sex crimes trial: expert,https://www.foxnews.com/entertainment/diddys-exs-testimony-could-provide-powerful-corroboration-allegations-sex-crimes-trial-expert,"Tue, 10 Jun 2025 02:00:04 -0400",2025-06-10T06:00:04+00:00,"Legal experts evaluate testimony from Diddy&apos;s ex, who claimed coercion and ongoing financial support, potentially corroborating allegations in sex crimes trial.","Legal experts evaluate testimony from Diddy&apos;s ex, who claimed coercion and ongoing financial support, potentially corroborating allegations in sex crimes trial.",Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/sports/nhl-playoff-brawl-erupts-panthers-seize-control-stanley-cup-final-commanding-home-victory,Panthers and Oilers engage in all-out brawl as Florida takes control of Stanley Cup Final in Game 3 victory,https://www.foxnews.com/sports/nhl-playoff-brawl-erupts-panthers-seize-control-stanley-cup-final-commanding-home-victory,"Tue, 10 Jun 2025 00:10:08 -0400",2025-06-10T04:10:08+00:00,"Panthers take commanding 2-1 Stanley Cup Final lead with 6-1 victory over Oilers in Game 3 marked by a third-period brawl, multiple ejections, and historic scoring from Brad Marchand.","Panthers take commanding 2-1 Stanley Cup Final lead with 6-1 victory over Oilers in Game 3 marked by a third-period brawl, multiple ejections, and historic scoring from Brad Marchand.",Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/us/defense-attorneys-dramatic-courtroom-move-has-legal-experts-talking-karen-read-murder-trial,Defense attorney's dramatic courtroom move has legal experts talking in Karen Read murder trial,https://www.foxnews.com/us/defense-attorneys-dramatic-courtroom-move-has-legal-experts-talking-karen-read-murder-trial,"Tue, 10 Jun 2025 00:00:47 -0400",2025-06-10T04:00:47+00:00,"Special prosecutor Hank Brennan admits evidence mistake in Karen Read&apos;s murder retrial as defense requests mistrial, with legal experts divided on whether the error was intentional","Special prosecutor Hank Brennan admits evidence mistake in Karen Read&apos;s murder retrial as defense requests mistrial, with legal experts divided on whether the error was intentional",Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/us/ag-bondi-says-fbi-has-identified-suspect-accused-assaulting-federal-officer-trump-vows-tough-response,"DOJ identifies suspect accused of assaulting federal officer, as Trump vows tough response",https://www.foxnews.com/us/ag-bondi-says-fbi-has-identified-suspect-accused-assaulting-federal-officer-trump-vows-tough-response,"Mon, 09 Jun 2025 21:50:27 -0400",2025-06-10T01:50:27+00:00,Attorney General Bondi announces FBI has identified suspect who allegedly injured a federal officer by throwing rocks at vehicles during anti-ICE demonstrations.,Attorney General Bondi announces FBI has identified suspect who allegedly injured a federal officer by throwing rocks at vehicles during anti-ICE demonstrations.,Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/sports/florida-am-athletic-director-faces-serious-legal-trouble-allegedly-stealing-thousands-previous-job,Florida A&M athletic director turns herself in to police over $24K theft allegations from previous job,https://www.foxnews.com/sports/florida-am-athletic-director-faces-serious-legal-trouble-allegedly-stealing-thousands-previous-job,"Mon, 09 Jun 2025 21:48:22 -0400",2025-06-10T01:48:22+00:00,"Angela Suggs, Florida A&amp;M&apos;s athletic director, faces felony theft charges after allegedly stealing funds from the Florida Sports Foundation through falsified vouchers.","Angela Suggs, Florida A&amp;M&apos;s athletic director, faces felony theft charges after allegedly stealing funds from the Florida Sports Foundation through falsified vouchers.",Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/media/mayor-bass-blames-trumps-ice-raids-starting-riots-while-claiming-things-la-calm,Mayor Bass blames Trump's ICE raids for starting riots while claiming 'things in LA are calm',https://www.foxnews.com/media/mayor-bass-blames-trumps-ice-raids-starting-riots-while-claiming-things-la-calm,"Mon, 09 Jun 2025 21:00:27 -0400",2025-06-10T01:00:27+00:00,"Los Angeles Mayor Karen Bass criticized the Trump administration&apos;s immigration raids, calling them &quot;a recipe for pandemonium&quot; that provoked protests.","Los Angeles Mayor Karen Bass criticized the Trump administration&apos;s immigration raids, calling them &quot;a recipe for pandemonium&quot; that provoked protests.",Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/us/louisiana-authorities-arrest-girlfriend-escaped-inmate-conspiracy-coordinated-jailbreak-operation,Louisiana authorities arrest girlfriend of escaped inmate for conspiracy in coordinated jailbreak operation,https://www.foxnews.com/us/louisiana-authorities-arrest-girlfriend-escaped-inmate-conspiracy-coordinated-jailbreak-operation,"Mon, 09 Jun 2025 20:49:53 -0400",2025-06-10T00:49:53+00:00,The Louisiana Attorney General announced former Orleans Parish Sheriff&apos;s employee Darriana Burton has been arrested for allegedly helping boyfriend Derrick Groves escape from jail.,The Louisiana Attorney General announced former Orleans Parish Sheriff&apos;s employee Darriana Burton has been arrested for allegedly helping boyfriend Derrick Groves escape from jail.,Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/entertainment/christian-slater-opens-weird-reality-fame-five-decades-hollywood,Christian Slater opens up about 'weird' reality of fame after 5 decades in Hollywood,https://www.foxnews.com/entertainment/christian-slater-opens-weird-reality-fame-five-decades-hollywood,"Mon, 09 Jun 2025 20:39:59 -0400",2025-06-10T00:39:59+00:00,"Christian Slater told Fox News Digital &quot;fame is always weird&quot; after accepting his star on the Hollywood Walk of Fame, an achievement he called &quot;a dream come true.&quot;","Christian Slater told Fox News Digital &quot;fame is always weird&quot; after accepting his star on the Hollywood Walk of Fame, an achievement he called &quot;a dream come true.&quot;",Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/entertainment/hailey-biebers-bikini-photos-prompts-celebrities-flood-comments-praise,Hailey Bieber's bikini photos prompt celebrities to flood comments with praise,https://www.foxnews.com/entertainment/hailey-biebers-bikini-photos-prompts-celebrities-flood-comments-praise,"Mon, 09 Jun 2025 20:25:39 -0400",2025-06-10T00:25:39+00:00,Hailey Bieber&apos;s Instagram features bikini pictures and Rhode products as the founder enjoys summer while celebrating her brand&apos;s recent $1 billion acquisition.,Hailey Bieber&apos;s Instagram features bikini pictures and Rhode products as the founder enjoys summer while celebrating her brand&apos;s recent $1 billion acquisition.,Latest & Breaking News on Fox News,N/A
